LAST NAME,FIRST NAME,DOB,POB,SSN,SEX,STREET NUMBER,STREET NAME,VOTER REG DATE,PARTY 
APRA,Helene,07/15/1925,California,165-30-7373,FEMALE,90,CRANBERRY,06/10/1947,REPUBLICAN
HECK,Isaac,11/28/1926,Idaho,754-78-5016,MALE,89,MARIGOLD,06/11/1947,REPUBLICAN
LI,Joyce,03/04/1924,Washington,224-33-1190,FEMALE,1900,ARROWOOD,06/12/1947,REPUBLICAN
THEVUTHASAN,Kirk,07/18/1925,Alderwood,859-33-0246,MALE,2604,CHOWCHOW,06/13/1947,REPUBLICAN
QAFOKU,Leslie,12/01/1926,ARIZONA,768-60-0692,FEMALE,285,FIFTEENTH,06/14/1947,REPUBLICAN
KOUADIO,Michael,04/15/1928,NEW YORK,992-82-1699,MALE,1155,DOGWOOD,06/15/1947,INDEPENDENT
STENKAMP,Nadine,04/16/1928,Alderwood,442-94-2263,FEMALE,2387,PETERBALD,06/16/1947,DEMOCRAT
WOO,Oscar,07/01/1910,Utah,794-69-6049,MALE,174,ELDERBERRY,06/17/1947,DEMOCRAT
ZHANG,Patty,01/31/1920,Washington,459-73-2256,FEMALE,619,SIAMESE,06/18/1947,DEMOCRAT
SADESKY,Rafael,03/11/1924,PENNSYLVANIA,062-75-0736,MALE,401,ALDER,06/19/1947,DEMOCRAT
SMITH,Sandy,06/24/1928,Alderwood,381-23-8691,FEMALE,1177,NINETEENTH ,06/20/1947,DEMOCRAT
SARIPALLI,Tony,12/08/1926,Oregon,247-39-3323,MALE,3241,BURMESE,06/21/1947,REPUBLICAN
FAULK,Valerie,04/22/1928,Alderwood,873-49-4086,FEMALE,1052,BENGAL,06/22/1947,REPUBLICAN
RAMIREZ,William,04/23/1928,Alderwood,898-16-9526,MALE,1638,SEVENTH,06/23/1947,REPUBLICAN
YANTASEE,Andrea,04/24/1928,Alderwood,688-41-8004,FEMALE,1759,ASTER,06/24/1947,REPUBLICAN
LARSEN,Barry,06/29/1928,Alderwood,132-22-3679,MALE,3465,PALMETTO,06/25/1947,REPUBLICAN
ZHONG,Chantal,07/31/1925,Utah,620-09-6609,FEMALE,125,PALM,06/26/1947,REPUBLICAN
GUZMAN,Dean,07/11/1910,Alderwood,749-89-0820,MALE,1939,HIMALAYA,06/27/1947,REPUBLICAN
AVILA,Erin,08/02/1925,Alderwood,097-97-5791,FEMALE,482,FOXGLOVE,06/28/1947,INDEPENDENT
GERK,Felix,08/03/1925,Utah,442-34-8772,MALE,71,ELDERBERRY,06/29/1947,DEMOCRAT
ZHANG,Gabrielle,04/30/1928,Utah,292-59-1533,FEMALE,360,SALMON,06/30/1947,DEMOCRAT
LUO,Humberto,05/01/1928,Alderwood,496-93-5792,MALE,654,KINNIKINICK,07/01/1947,DEMOCRAT
TANG,Ingrid,03/24/1924,Alderwood,499-50-2187,FEMALE,2289,EIGHTEENTH,07/02/1947,DEMOCRAT
STEGEN,Jerry,07/07/1929,NORTH DAKOTA,885-38-6211,MALE,108,OLIVE,07/03/1947,DEMOCRAT
BOGDANOV,Karen,08/08/1925,Alderwood,270-36-5182,FEMALE,1736,WOLFHOUND,07/04/1947,REPUBLICAN
HAMPT,Lorenzo,07/09/1928,Alderwood,142-47-9962,MALE,2737,BOXWOOD,07/05/1947,REPUBLICAN
ZHENG,Melissa,12/23/1926,Alderwood,905-67-3493,FEMALE,1820,FOURTH,07/06/1947,REPUBLICAN
GASPAR,Noel,07/11/1928,Alderwood,236-23-8595,FEMALE,2835,SNOWBERRY,07/07/1947,REPUBLICAN
FORD,Olga,07/22/1910,Montana,538-09-5281,FEMALE,183,BUTTONWOOD,07/08/1947,REPUBLICAN
AHN,Pablo,05/09/1928,KANSAS,040-22-5237,MALE,187,BARREL,07/09/1947,REPUBLICAN
VALIEV,Rebekah,07/14/1929,Alderwood,858-11-5619,FEMALE,1204,EIGHTH,07/10/1947,REPUBLICAN
PEREZ,Sebastien,08/15/1925,Alderwood,230-48-6282,MALE,3010,TWELVTH,07/11/1947,INDEPENDENT
HENSYEL,Tanya,12/29/1926,Alderwood,357-45-8447,FEMALE,3136,SUNFLOWER,07/12/1947,DEMOCRAT
LEI,Van,08/17/1925,NEW HAMPSHIRE,742-22-1107,MALE,477,HOLLY,07/13/1947,DEMOCRAT
LUDERS,Wendy,08/18/1925,NORTH DAKOTA,307-43-8687,FEMALE,245,SNOWSHOE,07/14/1947,DEMOCRAT
SHUTTHANANDAN,Arthur,05/15/1928,Alderwood,960-26-2396,MALE,270,LILAC,07/15/1947,DEMOCRAT
BOGGAVARAPU,Bertha,07/20/1929,Wyoming,008-26-6263,FEMALE,100,SUNFLOWER,07/16/1947,DEMOCRAT
AMAN,Cristobal,01/03/1927,Alderwood,103-49-5234,MALE,1925,FIRST ,07/17/1947,REPUBLICAN
FOLEY,Dolly,05/18/1928,Alderwood,482-98-0529,FEMALE,1567,SNOWBERRY,07/18/1947,REPUBLICAN
CHIEN,Edouard,01/05/1927,Alderwood,812-43-9446,MALE,973,ASTER,07/19/1947,REPUBLICAN
YANG,Fay,07/24/1928,Utah,159-07-9555,FEMALE,405,SALMON,07/20/1947,REPUBLICAN
PANGELINAN,Gustav,01/07/1927,Utah,578-19-3160,MALE,84,BLACKBERRY,07/21/1947,REPUBLICAN
SMIDGA,Hanna,08/26/1925,Oregon,213-68-9431,FEMALE,2521,NINETEENTH ,07/22/1947,REPUBLICAN
MCDONALD,Ike,01/09/1927,Oregon,161-10-5804,MALE,631,BARBERRY,07/23/1947,REPUBLICAN
REDINGER,Josephine,05/24/1928,Alderwood,589-20-7855,FEMALE,868,PIXIE,07/24/1947,INDEPENDENT
THORNTON,Kyle,05/25/1928,Alderwood,010-39-0179,MALE,777,THISTLE,07/25/1947,DEMOCRAT
MORAN,Laura,07/30/1928,MEXICO,608-42-0930,FEMALE,458,KOMONDOR,07/26/1947,DEMOCRAT
ORTIZ,Marco,01/13/1927,Alderwood,040-41-7608,MALE,112,SEVENTH,07/27/1947,DEMOCRAT
TOLIC,Nana,04/19/1924,Utah,547-48-8100,FEMALE,790,LAUREL,07/28/1947,DEMOCRAT
AREVALO,Omar,04/20/1924,ARIZONA,586-03-9507,MALE,353,ASTER,07/29/1947,DEMOCRAT
WOODSTOCK,Paloma,04/21/1924,Wyoming,798-01-6808,FEMALE,875,BASENJI,07/30/1947,REPUBLICAN
ZHANG,Rene,01/17/1927,Alderwood,980-83-5666,MALE,597,MASTIFF,07/31/1947,REPUBLICAN
SHARMA,Sally,09/05/1925,Alderwood,091-84-6523,FEMALE,2870,BORZOI,08/01/1947,REPUBLICAN
YANINA,Teddy,04/03/1909,Washington,463-48-5241,MALE,237,POODLE,08/02/1947,REPUBLICAN
BARNETT,Vicky,04/25/1924,Washington,124-22-1618,FEMALE,1492,SAGE,08/03/1947,REPUBLICAN
CARLSON,Wilfred,04/05/1909,Idaho,457-53-4163,MALE,2,ASTER,08/04/1947,REPUBLICAN
ZHANG,Ana,09/09/1925,Oregon,710-56-3670,FEMALE,4081,BALINESE,08/05/1947,REPUBLICAN
SCHULZ,Bill,08/10/1929,Alderwood,120-53-3115,MALE,301,SOMALI,08/06/1947,INDEPENDENT
SUTHERLAND,Claudette,08/11/1928,MEXICO,178-25-0006,FEMALE,43,CHOWCHOW,08/07/1947,DEMOCRAT
SINKOV,Danny,09/12/1925,Alderwood,329-29-3225,MALE,1534,PRICKLYPEAR,08/08/1947,DEMOCRAT
WINTER,Erika,06/09/1928,Alderwood,343-27-3718,FEMALE,1424,THIRD,08/09/1947,DEMOCRAT
WOODCOCK,Fred,08/14/1928,Alderwood,711-47-6233,MALE,434,SECOND,08/10/1947,DEMOCRAT
VERMA,Grace,01/28/1927,Alderwood,662-37-6433,FEMALE,985,SEVENTH,08/11/1947,DEMOCRAT
MARTINOVIC,Henri,04/13/1909,Alderwood,729-28-7759,MALE,518,BURMESE,08/12/1947,REPUBLICAN
DOHNALEK,Ida,08/17/1929,Utah,267-85-8349,FEMALE,440,DOGWOOD,08/13/1947,REPUBLICAN
OPRESKO,Joaquin,01/31/1927,Alderwood,744-28-9322,FEMALE,970,SEVENTH,08/14/1947,REPUBLICAN
BERRY,Kate,09/19/1925,ARIZONA,668-53-4975,FEMALE,1221,BUFFALOBERRY,08/15/1947,REPUBLICAN
SCHENTER,Larry,06/16/1928,MARYLAND,819-91-7265,MALE,630,SPANIEL,08/16/1947,REPUBLICAN
OZCELIK,Mindy,09/21/1925,Oregon,519-98-4326,FEMALE,3058,SELKIRK,08/17/1947,REPUBLICAN
XIA,Nicholas,09/22/1925,Alderwood,132-66-4975,MALE,2786,MAPLE,08/18/1947,REPUBLICAN
YANG,Odette,06/19/1928,Alderwood,422-05-0801,FEMALE,1589,WASHINGTON,08/19/1947,INDEPENDENT
LIU,Peter,09/24/1925,FLORIDA,473-61-2782,MALE,1850,DOGWOOD,08/20/1947,DEMOCRAT
WANG,Rose,12/30/1922,Alderwood,825-38-2198,FEMALE,1316,ARROWOOD,08/21/1947,DEMOCRAT
HENYK,Sam,05/14/1924,Alderwood,771-31-5885,MALE,3101,WOLFHOUND,08/22/1947,DEMOCRAT
NORDWALL,Teresa,09/27/1925,Alderwood,193-43-7260,FEMALE,1456,CRANBERRY,08/23/1947,DEMOCRAT
QIAN,Victor,09/28/1925,Alderwood,504-27-5486,MALE,3227,BARREL,08/24/1947,DEMOCRAT
PETRITIS,Wanda,06/25/1928,Alderwood,916-69-7658,FEMALE,1638,ROSE,08/25/1947,REPUBLICAN
LI,THOMAS,09/30/1925,Washington,439-55-0095,MALE,1474,CHOWCHOW,08/26/1947,REPUBLICAN
LASKIN,MARY,04/28/1909,Alderwood,398-01-8093,FEMALE,168,PETERBALD,08/27/1947,REPUBLICAN
SHEN,JAMES,02/14/1927,Alderwood,926-51-6976,MALE,637,SIXTH,08/28/1947,REPUBLICAN
LEE,PATRICIA,06/29/1928,VERMONT,339-78-4140,FEMALE,191,RAGDOLL,08/29/1947,REPUBLICAN
KIM,JOHN,02/16/1927,Alderwood,122-32-5232,MALE,188,SIXTEENTH,08/30/1947,REPUBLICAN
PRENDERGAST-KENNEDY,LINDA,07/01/1928,Idaho,789-77-6198,FEMALE,148,SUNSET,08/31/1947,REPUBLICAN
UM,ROBERT,02/18/1927,Oregon,014-42-5055,MALE,1005,GREYHOUND,09/01/1947,INDEPENDENT
CANTALOUB,BARBARA,09/16/1910,NORTH CAROLINA,510-20-7389,FEMALE,513,SAVANNAH,09/02/1947,DEMOCRAT
SHI,MICHAEL,10/08/1925,Alderwood,955-65-2293,MALE,15,SNOWSHOE,09/03/1947,DEMOCRAT
BARNES,ELIZABETH,10/09/1925,Alderwood,665-29-0979,FEMALE,245,PINE,09/04/1947,DEMOCRAT
BOWERS,WILLIAM,09/19/1910,Utah,151-82-7269,MALE,1220,SAVANNAH,09/05/1947,DEMOCRAT
JEON,JENNIFER,07/07/1928,Montana,944-98-4860,FEMALE,115,TURKISH,09/06/1947,DEMOCRAT
SCHALLA,DAVID,02/24/1927,NEW HAMPSHIRE,471-35-2388,MALE,343,THIRD,09/07/1947,REPUBLICAN
MOON,MARIA,10/13/1925,ALABAMA,766-14-9523,FEMALE,428,BOBTAIL,09/08/1947,REPUBLICAN
WANG,RICHARD,02/26/1927,California,847-40-5563,MALE,197,CHARTREUX,09/09/1947,REPUBLICAN
ALEXEEV,SUSAN,06/02/1924,Alderwood,439-11-1420,FEMALE,1519,SCHNAUZER,09/10/1947,REPUBLICAN
LICHFIELD,CHARLES,10/16/1925,Utah,256-65-0080,MALE,29,TENTH,09/11/1947,REPUBLICAN
CAI,MARGARET,07/13/1928,Alderwood,160-26-0006,FEMALE,255,THISTLE,09/12/1947,REPUBLICAN
KIM,JOSEPH,09/17/1929,Alderwood,610-14-3981,MALE,2555,PAWPAW,09/13/1947,REPUBLICAN
LOCKARD,DOROTHY,10/19/1925,Alderwood,573-58-7974,FEMALE,889,GINGER,09/14/1947,INDEPENDENT
JIANG,JOSEPH,10/20/1925,TENNESEE,902-36-5573,MALE,237,SEVENTEENTH,09/15/1947,DEMOCRAT
BREAULT,BETH,10/21/1925,Oregon,118-89-4024,FEMALE,1882,HAWTHORN,09/16/1947,DEMOCRAT
PHELPS,BRAD,10/22/1925,Montana,865-55-9519,MALE,35,PERSIMMON,09/17/1947,DEMOCRAT
MASIELLO,CARRIE,10/23/1925,INDIANA,890-75-5135,FEMALE,63,BITTEROOT,09/18/1947,DEMOCRAT
BLISS,DONALD,03/08/1927,Alderwood,832-01-9479,MALE,2135,FOURTH,09/19/1947,DEMOCRAT
CHEN,CAROLINE,06/12/1924,Alderwood,779-89-0155,FEMALE,2,BALINESE,09/20/1947,REPUBLICAN
HU,DENNIS,10/26/1925,Alderwood,423-63-1103,MALE,2058,SINGAPURA,09/21/1947,REPUBLICAN
CHEN,KATY,03/11/1927,Utah,586-47-8734,FEMALE,138,CHIHUAHUA,09/22/1947,REPUBLICAN
MATYAS,WAYNE,07/24/1928,Alderwood,809-73-0249,MALE,658,PALMETTO,09/23/1947,REPUBLICAN
DRAPER,CYNTHIA,07/25/1928,Oregon,808-73-5294,FEMALE,700,PINSCHER,09/24/1947,REPUBLICAN
WANG,NEAL,10/09/1910,Alderwood,098-45-5049,MALE,731,AKITA,09/25/1947,REPUBLICAN
SZAILER,NATALIE,05/10/1920,Utah,532-20-5786,FEMALE,875,BOMBAY,09/26/1947,REPUBLICAN
PAN,MIKE,06/19/1924,Alderwood,181-91-9429,MALE,1050,ROSE,09/27/1947,INDEPENDENT
TAN,KIMBERLY,10/02/1928,Montana,603-77-5088,FEMALE,135,RAGDOLL,09/28/1947,DEMOCRAT
GAO,SCOTT,03/18/1927,Montana,597-60-6520,MALE,221,ANGORA,09/29/1947,DEMOCRAT
VICKERMAN,BECKY,07/31/1928,ARIZONA,414-46-4413,FEMALE,65,FIFTEENTH,09/30/1947,DEMOCRAT
SZANYI,THOMAS,08/01/1928,Montana,636-91-6631,MALE,239,COLLIE,10/01/1947,DEMOCRAT
BUSH,REBECAH,08/02/1928,Oregon,149-14-2121,FEMALE,172,HONEYSUCKLE,10/02/1947,DEMOCRAT
LINDBERG,STEVEN,10/07/1928,Alderwood,038-24-4073,MALE,442,JUNIPER,10/03/1947,REPUBLICAN
BUCK,KELLY,11/08/1925,California,807-15-5490,FEMALE,144,PIXIE,10/04/1947,REPUBLICAN
HIRATA,RICHARD,10/19/1910,Alderwood,263-71-5029,MALE,3066,ASTER,10/05/1947,REPUBLICAN
DEVANATHAN,ANGELA,11/10/1925,Alderwood,997-84-2063,FEMALE,98,BLUEBERRY,10/06/1947,REPUBLICAN
ZHAO,WILLIAM,11/11/1925,Alderwood,636-82-0638,MALE,1465,BLACKBERRY,10/07/1947,REPUBLICAN
KIM,MICHELLE,08/08/1928,Oregon,625-54-0477,FEMALE,3805,SPHYNX,10/08/1947,REPUBLICAN
QIAO,ROBERT,08/09/1928,ARIZONA,472-26-9070,MALE,397,THISTLE,10/09/1947,REPUBLICAN
PITTS,AMY,07/02/1924,NORTH DAKOTA,852-35-6966,FEMALE,754,COON,10/10/1947,INDEPENDENT
NI,KENNETH,10/15/1929,Alderwood,772-30-9212,MALE,763,MUNCHKIN,10/11/1947,DEMOCRAT
METZ,MELISSA,11/16/1925,Alderwood,456-49-0922,FEMALE,2793,NINTH,10/12/1947,DEMOCRAT
STUDHAM,JEFFERY,10/17/1928,MEXICO,447-71-9026,MALE,344,JUNIPER,10/13/1947,DEMOCRAT
CORLEY,HEATHER,04/02/1927,Utah,738-26-0967,FEMALE,490,BORZOI,10/14/1947,DEMOCRAT
STRICKLAND,CHRISTOPHER,10/19/1928,ARIZONA,237-16-7731,MALE,87,LOCUST,10/15/1947,DEMOCRAT
WANG,STEPHANIE,10/30/1910,Alderwood,710-41-9021,FEMALE,1629,BASENJI,10/16/1947,REPUBLICAN
LASKIN,JOHN,08/17/1928,Idaho,330-83-8868,MALE,104,STRAWBERRY,10/17/1947,REPUBLICAN
GARCIA,LAUREN,10/22/1929,ARIZONA,078-33-1851,MALE,907,THIRTEENTH,10/18/1947,REPUBLICAN
WANG,BRIAN,11/23/1925,GEORGIA,220-89-4046,MALE,11,BLACKBERRY,10/19/1947,REPUBLICAN
RESAT,NICOLE,04/08/1927,Alderwood,040-96-5421,FEMALE,2513,BUFFALOBERRY,10/20/1947,REPUBLICAN
PIGULSKI,JASON,11/25/1925,Alderwood,504-14-9719,MALE,609,TURKISH,10/21/1947,REPUBLICAN
MCGRAIL,AMANDA,11/26/1925,Alderwood,363-43-7382,FEMALE,1736,REX,10/22/1947,REPUBLICAN
RUNKLE,SCOTT,08/23/1928,Oregon,365-40-9681,MALE,3667,THIRTEENTH,10/23/1947,INDEPENDENT
WU,BRITTANY,10/28/1929,Oregon,398-61-1652,FEMALE,1903,AFGHAN,10/24/1947,DEMOCRAT
EL-AZAB,MATTHEW,04/13/1927,Alderwood,277-35-1638,MALE,2856,FIFTH,10/25/1947,DEMOCRAT
ORR,RACHEL,08/26/1928,Alderwood,239-90-4722,FEMALE,1141,HAWTHORN,10/26/1947,DEMOCRAT
SCHELLY,DANIEL,04/15/1927,California,443-66-2172,MALE,56,LUPIN,10/27/1947,DEMOCRAT
REIDEL,MEGAN,11/01/1928,ARIZONA,100-32-4142,FEMALE,321,THISTLE,10/28/1947,DEMOCRAT
FLEMING,JOSHUA,04/17/1927,Alderwood,782-72-8764,MALE,1334,CRANBERRY,10/29/1947,REPUBLICAN
GULLEY,EMILY,12/04/1925,Alderwood,245-96-0557,FEMALE,406,RAGDOLL,10/30/1947,REPUBLICAN
SIMONEN,JUSTIN,04/19/1927,Alderwood,652-97-4955,MALE,1094,NINETEENTH ,10/31/1947,REPUBLICAN
DOWN,SARAH,09/01/1928,KENTUCKY,785-25-6346,FEMALE,208,MUM,11/01/1947,REPUBLICAN
DIAZ,NEWTON,09/02/1928,ARIZONA,499-83-7979,MALE,1661,CORNFLOWER,11/02/1947,REPUBLICAN
SIMEONOVA,TAYLOR,11/07/1928,Montana,810-79-3139,MALE,231,HOLLY,11/03/1947,REPUBLICAN
BAILEY,RYAN,04/23/1927,Alderwood,860-21-8794,MALE,522,BITTERSWEET,11/04/1947,REPUBLICAN
SMITH,JESSICA,07/28/1924,Washington,443-61-7328,FEMALE,367,SALMON,11/05/1947,INDEPENDENT
PARKER,ANDREW,07/29/1924,ARIZONA,359-49-4189,MALE,23,BUFFALOBERRY,11/06/1947,DEMOCRAT
SCHIENBEIN,ASHLEY,07/30/1924,ILLINOIS,930-42-0709,FEMALE,14,CRANBERRY,11/07/1947,DEMOCRAT
BOYD,NICHOLAS,04/27/1927,Alderwood,993-86-0154,MALE,2436,BOMBAY,11/08/1947,DEMOCRAT
STROPE,SAMANTHA,12/14/1925,Alderwood,413-75-4585,FEMALE,2912,RASPBERRY,11/09/1947,DEMOCRAT
BONEBRAKE,TYLER,07/12/1909,MEXICO,274-55-4843,FEMALE,1175,SOMALI,11/10/1947,DEMOCRAT
SHANKLE,MADISON,08/03/1924,Idaho,779-06-4036,FEMALE,142,KINNIKINICK,11/11/1947,REPUBLICAN
FERRYMAN,JACOB,07/14/1909,Alderwood,953-23-5170,MALE,1699,SECOND,11/12/1947,REPUBLICAN
CATALAN,HANNAH,12/18/1925,Alderwood,016-27-4047,FEMALE,846,CHERRY,11/13/1947,REPUBLICAN
HUGHES,ZACHARY,11/18/1929,Washington,338-73-3534,MALE,11,SEVENTH,11/14/1947,REPUBLICAN
MCKINSTRY,KAYLA,11/19/1928,ILLINOIS,435-80-0969,FEMALE,385,BENGAL,11/15/1947,REPUBLICAN
LOPRESTI,BRANDON,12/21/1925,Oregon,612-19-3443,MALE,195,QUAIL,11/16/1947,REPUBLICAN
WALKER,ALEXIS,09/17/1928,MEXICO,146-02-1329,FEMALE,35,KOMONDOR,11/17/1947,REPUBLICAN
HARTLEY,AUSTIN,11/22/1928,Alderwood,553-95-6118,MALE,1736,PINSCHER,11/18/1947,INDEPENDENT
PULSIPHER,LISA,05/08/1927,ARIZONA,253-82-4328,FEMALE,216,SIXTEENTH,11/19/1947,DEMOCRAT
WILLETT,ETHAN,07/22/1909,Alderwood,592-59-8940,MALE,239,LABRADOR,11/20/1947,DEMOCRAT
CARLON,CHRISTINE,11/25/1929,California,485-20-4668,FEMALE,56,LAVENDER,11/21/1947,DEMOCRAT
KLYMYSHYN,ANTHONY,05/11/1927,ARIZONA,029-67-7679,MALE,105,KEESHOND,11/22/1947,DEMOCRAT
BAILEY,CHRISTINA,12/28/1925,Alderwood,308-46-4224,FEMALE,250,BORZOI,11/23/1947,DEMOCRAT
PAPPAS,ALEXANDER,09/24/1928,ARIZONA,547-44-6512,MALE,7,STURGEON,11/24/1947,REPUBLICAN
SPEER,TRACY,12/30/1925,Montana,795-35-0547,FEMALE,243,PHEASANT,11/25/1947,REPUBLICAN
SANDNESS,JONATHON,12/31/1925,Washington,665-41-4535,MALE,1882,OAK,11/26/1947,REPUBLICAN
SLONE,KAREN,09/27/1928,ARIZONA,330-97-4335,FEMALE,237,CORNISH,11/27/1947,REPUBLICAN
POEPPEL,DYLAN,01/02/1926,Utah,025-58-9281,MALE,320,SAGE,11/28/1947,REPUBLICAN
MACLELLAN,SUSAN,04/09/1923,Montana,590-54-8956,FEMALE,227,LOCUST,11/29/1947,REPUBLICAN
GALLEGOS,SAMUEL,08/22/1924,Alderwood,586-32-0095,MALE,873,AKITA,11/30/1947,REPUBLICAN
WAGONER,TAMMY,01/05/1926,ALASKA,137-01-6095,FEMALE,1345,BIRCH,12/01/1947,INDEPENDENT
BIAGGI,JOSE,01/06/1926,Alderwood,099-98-5269,MALE,2345,OLIVE,12/02/1947,DEMOCRAT
JAHNKE,TABITHA,10/03/1928,Alderwood,051-20-0093,FEMALE,1882,PEONY,12/03/1947,DEMOCRAT
RATHBONE,BENJAMIN,01/08/1926,Idaho,997-62-3902,MALE,13,TERRIER,12/04/1947,DEMOCRAT
FOX,DEBORAH,08/06/1909,NORTH CAROLINA,491-06-0385,FEMALE,97,TONKINESE,12/05/1947,DEMOCRAT
GREGG,NATHAN,05/25/1927,Alderwood,053-67-6103,MALE,1229,REX,12/06/1947,DEMOCRAT
WHARTON,SANDRA,10/07/1928,ARIZONA,992-47-1129,FEMALE,201,BITTEROOT,12/07/1947,REPUBLICAN
BOND,LOGAN,05/27/1927,Alderwood,559-03-1915,MALE,945,TONKINESE,12/08/1947,REPUBLICAN
KIMERLING,PATRICIA,10/09/1928,Utah,703-97-5302,FEMALE,187,FIFTEENTH,12/09/1947,REPUBLICAN
SLIGER,KEVIN,05/29/1927,MEXICO,550-38-6063,MALE,434,HONEYSUCKLE,12/10/1947,REPUBLICAN
GAUGLITZ,DONNA,12/25/1910,FLORIDA,538-76-8422,FEMALE,60,BOXWOOD,12/11/1947,REPUBLICAN
WARNER,GABRIEL ,01/16/1926,Oregon,783-69-0408,MALE,4012,AKITA,12/12/1947,REPUBLICAN
MAYNARD,LINDA,01/17/1926,Alderwood,452-49-1910,FEMALE,1055,STRAWBERRY,12/13/1947,REPUBLICAN
BRIKOTNINA,NOAH,12/28/1910,Alderwood,036-67-0057,MALE,1239,HAVANESE,12/14/1947,INDEPENDENT
WARREN,DEBRA,10/15/1928,ARIZONA,521-88-2771,FEMALE,111,TIFFANY,12/15/1947,DEMOCRAT
GARNER,CALEB,06/04/1927,NEBRASKA,691-46-0682,MALE,77,OAK,12/16/1947,DEMOCRAT
LEPEL,BRENDA,01/21/1926,Alderwood,844-44-5256,FEMALE,1736,HOLLY,12/17/1947,DEMOCRAT
CAMPBELL,JORDAN,06/06/1927,Montana,937-68-4652,MALE,122,MUNCHKIN,12/18/1947,DEMOCRAT
WELCH,JASMINE,09/10/1924,Alderwood,656-31-8701,FEMALE,208,EIGHTEENTH,12/19/1947,DEMOCRAT
LARSON,HUNTER,01/24/1926,Alderwood,180-69-2585,MALE,655,BORZOI,12/20/1947,REPUBLICAN
EWALD,SYDNEY,10/21/1928,Alderwood,128-35-6402,FEMALE,3192,BARBERRY,12/21/1947,REPUBLICAN
BUCHANAN,CAMERON,12/26/1929,Alderwood,570-80-0767,MALE,182,CHARTREUX,12/22/1947,REPUBLICAN
HILL,VICTORIA,01/27/1926,Alderwood,510-68-3607,FEMALE,3339,CORNFLOWER,12/23/1947,REPUBLICAN
ELIAS,KYLE,01/28/1926,Alderwood,497-02-2789,MALE,99,COONHOUND,12/24/1947,REPUBLICAN
SMALL,ANNA,01/29/1926,Alderwood,354-57-3985,FEMALE,1834,FIFTH,12/25/1947,REPUBLICAN
BECK,ELIJAH,01/30/1926,Montana,297-46-9548,MALE,80,SIBERIAN,12/26/1947,REPUBLICAN
MOORE,BRIANNA,01/31/1926,LOUISIANNA,392-03-1106,FEMALE,53,TENTH,12/27/1947,INDEPENDENT
BLEVINS,JASON,06/16/1927,MEXICO,186-14-6886,MALE,329,SUNFLOWER,12/28/1947,DEMOCRAT
RUSSELL,JESSICA,09/20/1924,Alderwood,987-04-9370,FEMALE,43,RAGAMUFFIN,12/29/1947,DEMOCRAT
GORBY,JACK,02/03/1926,Alderwood,866-22-8834,MALE,763,SNOWSHOE,12/30/1947,DEMOCRAT
SACKSTEDER,GRACE,06/19/1927,Alderwood,808-96-9270,FEMALE,2184,RAGAMUFFIN,12/31/1947,DEMOCRAT
CREIM,AARON,11/01/1928,Alderwood,150-39-3068,MALE,3423,FOURTH,01/01/1948,DEMOCRAT
GIES,ISABELLA,11/02/1928,Utah,022-22-1638,FEMALE,89,SNOWSHOE,01/02/1948,REPUBLICAN
ARMSTRONG,ISAIAH,01/17/1911,MASSACHUSETTS,080-68-6569,MALE,191,BARBERRY,01/03/1948,REPUBLICAN
GADD,LAUREN,08/18/1920,Alderwood,750-25-8740,MALE,1651,CORGI,01/04/1948,REPUBLICAN
NYBERG,LUKE,09/27/1924,ILLINOIS,730-48-1190,MALE,658,BROOM,01/05/1948,REPUBLICAN
COX,ALYSSA,01/10/1929,Idaho,697-04-0972,FEMALE,7,BITTEROOT,01/06/1948,REPUBLICAN
WALKER,CONNER,06/26/1927,Washington,089-50-7458,MALE,59,PAPILION,01/07/1948,REPUBLICAN
TRUE,OLIVIA,11/08/1928,Alderwood,455-79-2766,FEMALE,1169,ELEVENTH,01/08/1948,REPUBLICAN
FELIX,LUIS,11/09/1928,Alderwood,043-18-7562,MALE,752,FIRST ,01/09/1948,INDEPENDENT
METZ,ABIGAIL,11/10/1928,Alderwood,380-57-1281,FEMALE,1315,STRAWBERRY,01/10/1948,DEMOCRAT
ATKINSON,ISAAC,01/15/1929,Alderwood,221-91-3454,MALE,110,ARROWOOD,01/11/1948,DEMOCRAT
LEHN,CHLOE,02/16/1926,Alderwood,740-10-1082,FEMALE,886,MARIGOLD,01/12/1948,DEMOCRAT
RIEKSTS,FRANK,01/27/1911,Alderwood,827-41-7478,MALE,357,LILAC,01/13/1948,DEMOCRAT
YOUNG,SOPHIA,02/18/1926,Alderwood,772-83-3539,FEMALE,1233,CHARTREUX,01/14/1948,DEMOCRAT
CLAPHAN,GEORGE,02/19/1926,Alderwood,697-97-7654,MALE,793,FIFTH,01/15/1948,REPUBLICAN
MACASIEB,MORGAN,11/16/1928,California,667-78-6964,FEMALE,166,LABRADOR,01/16/1948,REPUBLICAN
WHYATT,CHARLES,11/17/1928,CONNECTICUT,619-29-3412,MALE,75,SCHNAUZER,01/17/1948,REPUBLICAN
HASS,JULIA,10/10/1924,Alderwood,124-60-3266,FEMALE,467,MASTIFF,01/18/1948,REPUBLICAN
ROBB,HARRY,01/23/1930,Alderwood,063-37-3422,MALE,989,PANSY,01/19/1948,REPUBLICAN
